dag_name_prefix,dag_domain,dag_load_note,dag_name,table_catalog,table_schema_group,table_schema,table_name,sproc_call,table_type,dag_type,task_type,Status,Domain Dag Seq,Task Number Seq,sched_interval,sched_interval_dev,sched_interval_stg,dag_email,sa_dev,sa_stg,sa_prod,team,snow_alert,snow_assignment_group,snow_severity,airflow_url
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_psjhpcn,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,SP_TRULLA_INVENTORY,SP_TRULLA_INVENTORY('PSJHPCN'),DAGS,SEQ_LOAD,Call SP,Ready,15,1,"0 9,17 * * *","0 9,17 * * 0","0 9,17 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_psjhpcn,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,pharma_pdwtrulla_trulla_inventory_psjhpcn_export,pharma_pdwtrulla_trulla_inventory_psjhpcn_export,DAGS,SEQ_LOAD,Trigger DAG,Ready,15,2,"0 9,17 * * *","0 9,17 * * 0","0 9,17 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uofl,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,SP_TRULLA_INVENTORY,SP_TRULLA_INVENTORY('UOFL'),DAGS,SEQ_LOAD,Call SP,Ready,15,1,"0 7,15 * * *","0 7,15 * * 0","0 7,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uofl,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,pharma_pdwtrulla_trulla_inventory_uofl_export,pharma_pdwtrulla_trulla_inventory_uofl_export,DAGS,SEQ_LOAD,Trigger DAG,Ready,15,2,"0 7,15 * * *","0 7,15 * * 0","0 7,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uch,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,SP_TRULLA_INVENTORY,SP_TRULLA_INVENTORY('UCH'),DAGS,SEQ_LOAD,Call SP,Ready,15,1,"0 8,12,15 * * *","0 8,12,15 * * 0","0 8,12,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uch,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,pharma_pdwtrulla_trulla_inventory_uch_export,pharma_pdwtrulla_trulla_inventory_uch_export,DAGS,SEQ_LOAD,Trigger DAG,Ready,15,2,"0 8,12,15 * * *","0 8,12,15 * * 0","0 8,12,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uph,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,SP_TRULLA_INVENTORY,SP_TRULLA_INVENTORY('UPH'),DAGS,SEQ_LOAD,Call SP,Ready,15,1,"0 8,12,15 * * *","0 8,12,15 * * 0","0 8,12,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_uph,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,pharma_pdwtrulla_trulla_inventory_uph_export,pharma_pdwtrulla_trulla_inventory_uph_export,DAGS,SEQ_LOAD,Trigger DAG,Ready,15,2,"0 8,12,15 * * *","0 8,12,15 * * 0","0 8,12,15 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_psjh,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,SP_TRULLA_INVENTORY,SP_TRULLA_INVENTORY('PSJH'),DAGS,SEQ_LOAD,Call SP,Ready,15,1,"0 9,17 * * *","0 9,17 * * 0","0 9,17 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwtrulla,trulla,dailyload,pharma_pdwtrulla_trulla_sp_trulla_inventory_psjh,PROJECT_ID,PHM_PD_TRULLA_INV_RPT,D1_PHM_PD_TRULLA_INV_RPT,pharma_pdwtrulla_trulla_inventory_psjh_export,pharma_pdwtrulla_trulla_inventory_psjh_export,DAGS,SEQ_LOAD,Trigger DAG,Ready,15,2,"0 9,17 * * *","0 9,17 * * 0","0 9,17 * * 0",G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwicontracts,icontracts,dailyload,pharma_pdwicontracts_icontracts_cms_ldr_sqdc,PROJECT_ID,PHM_PD_ICONTRACTS_RPT,D1_PHM_PD_ICONTRACTS_RPT,SP_ICONTRACTS_CMS_LDR_PRODUCTS,SP_ICONTRACTS_CMS_LDR_PRODUCTS(),DAGS,SEQ_LOAD,Call SP,Ready,19,1,15 3 * * 1-6,15 3 * * 0,15 3 * * 0,G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
pharma_pdwicontracts,icontracts,dailyload,pharma_pdwicontracts_icontracts_sp_icontracts_product_leader,PROJECT_ID,PHM_PD_ICONTRACTS_RPT,D1_PHM_PD_ICONTRACTS_RPT,SP_ICONTRACTS_PRODUCT_LEADER,SP_ICONTRACTS_PRODUCT_LEADER(),DAGS,SEQ_LOAD,Call SP,Ready,19,1,45 3 * * 1-6,45 3 * * 0,45 3 * * 0,G-EIT-PharmaDnA-Run@cardinalhealth.com,sa-edna-pharma-data-whse@edc-phmdw-np-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdwstg-pr-cah.iam.gserviceaccount.com,sa-edna-pharma-data-whse@edc-phmdw-pr-cah.iam.gserviceaccount.com,pdw,Y,Pharma-DnA,3,airflow.cardinalhealth.net
